20,krishi,2020-07-05,11:59,2,Maverick,20,Hackathon,American,breakfast,formal,alcohol,music,saved,null,The halls opens at noon on sunday's,
20,krishi,2020-07-05,12:00,2,Maverick,20,Hackathon,American,breakfast,formal,alcohol,music,saved,null,,
21,krishi,2020-07-04,22:01,4,Maverick,20,Hackathon,American,breakfast,formal,alcohol,music,saved,null,The halls closes at 2 am on weekends,
21,krishi,2020-07-04,22:00,4,Maverick,20,Hackathon,American,breakfast,formal,alcohol,music,saved,null,,
21,krishi,2020-07-02,6:59,3,Maverick,20,Hackathon,American,breakfast,formal,alcohol,music,saved,null,The halls opens at 7 am except on sunday's,
21,krishi,2020-07-02,7:00,3,Maverick,20,Hackathon,American,breakfast,formal,alcohol,music,saved,null,,
21,krishi,2020-07-02,19:01,4,Maverick,20,Hackathon,American,breakfast,formal,alcohol,music,saved,null,The halls closes at 11 pm on weekday's,
21,krishi,2020-07-02,19:00,4,Maverick,20,Hackathon,American,breakfast,formal,alcohol,music,saved,null,,
21,krishi,2020-03-29,12:00,4,Maverick,20,Hackathon,American,breakfast,formal,alcohol,music,saved,null,,user must not select past date time
21,krishi,2020-07-02,7:00,4,Maverick,20,Hackathon,American,breakfast,formal,alcohol,music,saved,null,,
