2,Maverick,100,breakfast,formal,non alcohol,music,1450.00
2,KC,25,breakfast,formal,non alcohol,music,400.00
2,Arlington,50,breakfast,formal,non alcohol,music,750.00
2,Liberty,75,breakfast,formal,non alcohol,music,1100.00
2,Liberty,75,lunch,formal,non alcohol,music,1550.00
2,Liberty,75,supper,formal,non alcohol,music,2225.00
2,Liberty,75,supper,informal,non alcohol,music,1550.00
2,Liberty,75,supper,informal,alcohol,music,2675.00
2,Liberty,75,supper,informal,alcohol,non-music,2625.00
2,Shard,25,supper,informal,alcohol,non-music,875.00
